	MOVIEID	TITLE	GENRES	REALEASE	(no genres listed)	Action	Adventure	Animation	Children	Comedy	Crime	Documentary	Drama	Fantasy	Film-Noir	Horror	IMAX	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western	count	mean	SCORE	title
15	750	Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу	Comedy,War	1964.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	34323	4.199997086501763	4.190687036986283	Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу
16	296	Криминальное чтиво	Comedy,Crime,Drama,Thriller	1994.0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	108755	4.191775090800423	4.188841478625467	Криминальное чтиво
17	912	Casablanca	Drama,Romance	1942.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	34812	4.195880730782489	4.18673247061643	
18	1213	Славные парни	Crime,Drama	1990.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	44591	4.191910923729004	4.184780865094005	Славные парни
19	58559	Тёмный рыцарь	Action,Crime,Drama,IMAX	2008.0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	65348	4.187534431046092	4.182677934374323	Тёмный рыцарь
20	44555	Жизнь других	Drama,Romance,Thriller	2006.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	12625	4.201425742574258	4.17642337816541	Жизнь других
21	908	На север через северо-запад	Action,Adventure,Mystery,Romance,Thriller	1959.0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	21882	4.187345763641349	4.172963607834686	На север через северо-запад
22	6016	Город Бога	Action,Adventure,Crime,Drama,Thriller	2002.0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	27208	4.183585710085269	4.172028264312705	Город Бога
23	79132	Начало	Action,Crime,Drama,Mystery,Sci-Fi,Thriller,IMAX	2010.0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	65055	4.176189378218431	4.171358509851479	Начало
24	195159	Человек-паук: Через Вселенные	Action,Adventure,Animation,Sci-Fi	2018.0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10884	4.192070929805219	4.163395960525003	Человек-паук: Через Вселенные
25	2571	Матрица	Action,Sci-Fi,Thriller	1999.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	107055	4.1606323852225495	4.1577315214257	Матрица
26	922	Сансет бульвар	Drama,Film-Noir,Romance	1950.0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	9626	4.18990234780802	4.157643068146021	Сансет бульвар
27	2324	Жизнь прекрасна	Comedy,Drama,Romance,War	1997.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	32434	4.163547511870259	4.154003997051929	Жизнь прекрасна
28	3000	Принцесса Мононоке	Action,Adventure,Animation,Drama,Fantasy	1997.0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	18225	4.166035665294925	4.149124701674638	Принцесса Мононоке
29	1212	Третий человек	Film-Noir,Mystery,Thriller	1949.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	9276	4.18159767141009	4.148393416229705	Третий человек
30	593	Молчание ягнят	Crime,Horror,Thriller	1991.0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	101801	4.150288307580476	4.147265794733012	Молчание ягнят
31	112552	Одержимость	Drama	2014.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20946	4.15702282058627	4.142396377377702	Одержимость
32	5971	Мой сосед Тоторо	Animation,Children,Drama,Fantasy	1988.0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	14009	4.163502034406453	4.141647439544704	Мой сосед Тоторо
33	3435	Двойная страховка	Crime,Drama,Film-Noir	1944.0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	6788	4.186063641720684	4.140986932669233	Двойная страховка
34	109487	Интерстеллар	Sci-Fi,IMAX	2014.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	40602	4.146975518447367	4.139449754900977	Интерстеллар
35	4226	Помни	Mystery,Thriller	2000.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	55648	4.143715856814261	4.13823087447609	Помни
36	166024	Одержимость	(no genres listed)	2013.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3053	4.232066819521782	4.132594326992621	Одержимость
37	1136	Монти Пайтон и священный Грааль	Adventure,Comedy,Fantasy	1975.0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	47844	4.13710183095059	4.130764776099455	Монти Пайтон и священный Грааль
38	1252	Китайский квартал	Crime,Film-Noir,Mystery,Thriller	1974.0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	22041	4.143096955673517	4.129358641730637	Китайский квартал
39	2329	Amerikanskaya istoriya Iks	Crime,Drama	1998.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	41054	4.134992936132898	4.127628638216601	Amerikanskaya istoriya Iks
40	48516	Отступники	Crime,Drama,Thriller	2006.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	36480	4.134786184210526	4.126506917301375	Отступники
41	1178	Тропы славы	Drama,War	1957.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5603	4.180260574692129	4.126362956361038	Тропы славы
42	1234	Афера	Comedy,Crime	1973.0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19513	4.136985599344027	4.121576303021199	Афера
43	1207	Убить пересмешника	Drama	1962.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19719	4.136391297733151	4.121148896137328	Убить пересмешника
44	1201	Хороший, плохой, злой	Action,Adventure,Western	1966.0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23822	4.13189488707917	4.119298972051356	Хороший, плохой, злой
45	92259	1+1	Comedy,Drama	2011.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20060	4.131430707876371	4.116510536151943	1+1
46	1196	Звёздные войны. Эпизод 5: Империя наносит ответный удар	Action,Adventure,Sci-Fi	1980.0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	80199	4.118031396900211	4.114306948150629	Звёздные войны. Эпизод 5: Империя наносит ответный удар
47	48780	Престиж	Drama,Mystery,Sci-Fi,Thriller	2006.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	34045	4.122646497283008	4.113876354437248	Престиж
48	926	All About Eve	Drama	1950.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6256	4.16096547314578	4.113265236878153	
49	608	Фарго	Comedy,Crime,Drama,Thriller	1996.0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	61976	4.115326900735769	4.110524004105728	Фарго
50	3030	Телохранитель	Action,Adventure	1961.0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5207	4.166986748607644	4.109855607952092	Телохранитель
51	1208	Апокалипсис сегодня	Action,Drama,War	1979.0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	34019	4.117111026191246	4.108378301982312	Апокалипсис сегодня
52	541	Бегущий по лезвию	Action,Sci-Fi,Thriller	1982.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	47694	4.113714513355978	4.1074907484641	Бегущий по лезвию
53	7153	Властелин колец: Возвращение короля	Action,Adventure,Drama,Fantasy	2003.0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	75511	4.110182622399385	4.106256053145485	Властелин колец: Возвращение короля
54	1197	Принцесса-невеста	Action,Adventure,Comedy,Fantasy,Romance	1987.0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	50774	4.110903218182535	4.10507000865041	Принцесса-невеста
55	1260	М убийца	Crime,Film-Noir,Thriller	1931.0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	5933	4.1527894825552	4.102966279661208	М убийца
56	903	Головокружение	Drama,Mystery,Romance,Thriller	1958.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	20774	4.115986329065177	4.101772638930843	Головокружение
57	930	Дурная слава	Film-Noir,Romance,Thriller	1946.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	6185	4.149474535165724	4.101735635115742	Дурная слава
58	1284	Глубокий сон	Crime,Film-Noir,Mystery	1946.0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	7037	4.143384965184027	4.101437582979132	Глубокий сон
59	1704	Умница Уилл Хантинг	Drama,Romance	1997.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	54979	4.106595245457356	4.101227262933061	Умница Уилл Хантинг
60	913	Мальтийский сокол	Film-Noir,Mystery	1941.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	15629	4.119841320621921	4.100962692213399	Мальтийский сокол
61	31658	Ходячий замок	Adventure,Animation,Fantasy,Romance	2004.0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	16470	4.1188221007893135	4.100908363589408	Ходячий замок
62	1172	Новый кинотеатр «Парадизо»	Drama	1989.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12179	4.122998604154692	4.098820167971206	Новый кинотеатр «Парадизо»
63	2858	Красота по-американски	Drama,Romance	1999.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	69901	4.101650906281741	4.09744362201923	Красота по-американски
64	1204	Лоуренс Аравийский	Adventure,Drama,War	1962.0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	17151	4.114424814879599	4.09728011544866	Лоуренс Аравийский
65	1198	Индиана Джонс: В поисках утраченного ковчега	Action,Adventure	1981.0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75247	4.1010405730461015	4.097133325365167	Индиана Джонс: В поисках утраченного ковчега
66	4993	Властелин колец: Братство кольца	Adventure,Fantasy	2001.0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	79939	4.099331990642865	4.095659112496602	Властелин колец: Братство кольца
67	1148	Уоллес и Громит: Неправильные штаны	Animation,Children,Comedy,Crime	1993.0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18596	4.111206711120671	4.095421523746752	Уоллес и Громит: Неправильные штаны
68	1217	Ран	Drama,War	1985.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6527	4.139957101271641	4.095001284055509	Ран
69	163134	Твоё имя	Animation,Drama,Fantasy,Romance	2016.0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	3939	4.167428281289667	4.093069499424848	Твоё имя
70	1233	Подводная лодка	Action,Drama,War	1981.0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	17051	4.108204797372588	4.091059150979996	Подводная лодка
71	293	Леон	Action,Crime,Drama,Thriller	1994.0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	43538	4.097546970462584	4.090833551655463	Леон
72	260	Звёздные войны: Эпизод 4 - Новая надежда	Action,Adventure,Sci-Fi	1977.0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	97201	4.0924013127436965	4.089398288072486	Звёздные войны: Эпизод 4 - Новая надежда
73	1089	Бешеные псы	Crime,Mystery,Thriller	1992.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	45317	4.094169958293797	4.087738730677286	Бешеные псы
74	179135	Голубая планета 2	Documentary	2017.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1267	4.312943962115233	4.083771903621725	Голубая планета 2
75	47	Семь	Mystery,Thriller	1995.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	65665	4.08774842001066	4.083328410500431	Семь
76	4973	Амели	Comedy,Romance	2001.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	45748	4.086823467692577	4.08049605031567	Амели
77	27773	Олдбой	Mystery,Thriller	2003.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	17877	4.093863623650501	4.077713979701238	Олдбой
78	5952	Властелин колец: Две крепости	Adventure,Fantasy	2002.0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	73686	4.080870178867085	4.076954917340384	Властелин колец: Две крепости
79	1248	Печать зла	Crime,Film-Noir,Thriller	1958.0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	5914	4.125549543456206	4.07677529199571	Печать зла
80	745	Уоллес и Громит: Выбрить наголо	Animation,Children,Comedy	1995.0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14586	4.096222405045935	4.076452569592668	Уоллес и Громит: Выбрить наголо
81	1209	Однажды на Диком Западе	Action,Drama,Western	1968.0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	7425	4.114814814814815	4.075994898879898	Однажды на Диком Западе
82	111	Таксист	Crime,Drama,Thriller	1976.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	39050	4.08134443021767	4.073977283818057	Таксист
83	7099	Навсикая из Долины ветров	Adventure,Animation,Drama,Fantasy,Sci-Fi	1984.0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	7595	4.109282422646478	4.0714932297378565	Навсикая из Долины ветров
84	1945	В порту	Crime,Drama	1954.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7325	4.108191126279864	4.069098280018092	В порту
85	1262	Большой побег	Action,Adventure,Drama,War	1963.0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	13817	4.089599768401245	4.068879257031758	Большой побег
86	1254	Treasure of the Sierra Madre, The	Action,Adventure,Drama,Western	1948.0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	6606	4.112019376324554	4.0686885785110425	
87	950	Thin Man, The	Comedy,Crime	1934.0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3975	4.13937106918239	4.067445558280946	
88	898	Филадельфийская история	Comedy,Drama,Romance	1940.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	8291	4.101254372210831	4.066792238624178	Филадельфийская история
89	356	Форрест Гамп	Comedy,Drama,Romance,War	1994.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	113580	4.0681942243352704	4.065681262079853	Форрест Гамп
90	7361	Вечное сияние чистого разума	Drama,Romance,Sci-Fi	2004.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	46291	4.069711174958416	4.063557871565533	Вечное сияние чистого разума
91	1214	Чужой	Horror,Sci-Fi	1979.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	46571	4.06950677460222	4.063391442480946	Чужой
92	4011	Стырили	Comedy,Crime,Thriller	2000.0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	33627	4.071058970470158	4.062596127775146	Стырили
93	905	Это случилось однажды ночью	Comedy,Romance	1934.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5242	4.115318580694392	4.061107657584308	Это случилось однажды ночью
94	5291	Расёмон	Crime,Drama,Mystery	1950.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	6197	4.106261094077779	4.0604341161634405	Расёмон
95	5690	Могила светлячков	Animation,Drama,War	1988.0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6945	4.101223902087833	4.060336482623644	Могила светлячков
96	923	Гражданин Кейн	Drama,Mystery	1941.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	24158	4.070452852057289	4.0587167423182615	Гражданин Кейн
97	163809	По ту сторону изгороди	Adventure,Animation,Drama	2013.0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1429	4.2568229531140656	4.058465764734111	По ту сторону изгороди
98	2186	Незнакомцы в поезде	Crime,Drama,Film-Noir,Thriller	1951.0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	6899	4.099434700681258	4.058353141603104	Незнакомцы в поезде
99	1250	Мост через реку Квай	Adventure,Drama,War	1957.0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	15791	4.075581027167374	4.057644965860151	Мост через реку Квай
100	1225	Амадей	Drama	1984.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	26189	4.067910191301691	4.057101078209412	Амадей
101	1147	Когда мы были королями	Documentary	1996.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4206	4.12339514978602	4.056152875994074	Когда мы были королями
102	1276	Хладнокровный Люк	Drama	1967.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14413	4.075209879969472	4.055597761921384	Хладнокровный Люк
103	198185	Twin Peaks	Drama,Mystery	1989.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1132	4.302561837455831	4.053386997564026	
104	2028	Спасти рядового Райана	Action,Drama,War	1998.0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	64234	4.057469564405143	4.053079646109374	Спасти рядового Райана
105	148626	Игра на понижение	Drama	2015.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15979	4.070623943926403	4.05297863226541	Игра на понижение
106	3089	Похитители велосипедов	Drama	1948.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5033	4.108086628253527	4.052112463546449	Похитители велосипедов
107	1219	Психо	Crime,Horror	1960.0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	28015	4.061252900232018	4.051205766811986	Психо
108	1267	Маньчжурский кандидат	Crime,Thriller,War	1962.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	10772	4.075055699962867	4.048982230111133	Маньчжурский кандидат
109	6350	Небесный замок Лапута	Action,Adventure,Animation,Children,Fantasy,Sci-Fi	1986.0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	7777	4.084608460846084	4.048510401438193	Небесный замок Лапута
110	5995	Пианист	Drama,War	2002.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	23806	4.059459800050408	4.04767676114363	Пианист
111	142488	В центре внимания	Thriller	2015.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9187	4.077337542179166	4.046829675642438	В центре внимания
112	1617	Секреты Лос-Анджелеса	Crime,Film-Noir,Mystery,Thriller	1997.0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	35790	4.053660240290584	4.045836694994245	Секреты Лос-Анджелеса
113	55820	Старикам тут не место	Crime,Drama	2007.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	28008	4.053056269637247	4.043085772482495	Старикам тут не место
114	1222	Цельнометаллическая оболочка	Drama,War	1987.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	33264	4.049482924482924	4.041104115799787	Цельнометаллическая оболочка
115	3462	Новые времена	Comedy,Drama,Romance	1936.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	6257	4.085424324756273	4.040889545417681	Новые времена
116	96829	Охота	Drama	2012.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5087	4.094653037153528	4.039927002159973	Охота
117	1237	Седьмая печать	Drama	1957.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6866	4.080323332362365	4.039782705081588	Седьмая печать
118	164179	Прибытие	Sci-Fi	2016.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20586	4.053215777713008	4.039695514242171	Прибытие
119	1280	Зажги красный фонарь	Drama	1991.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3825	4.112156862745098	4.039411598725588	Зажги красный фонарь
120	3147	Зелёная миля	Crime,Drama	1999.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	41221	4.042696683729167	4.03596926619698	Зелёная миля
121	1224	Henry V	Action,Drama,Romance,War	1989.0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	5026	4.090429765220851	4.03529132507595	
122	98491	Бумажный роман	Animation,Comedy,Romance	2012.0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3791	4.108018992350304	4.034943093399965	Бумажный роман
123	207313	Достать ножи	Comedy,Crime,Drama,Mystery,Thriller	2019.0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	11275	4.058669623059867	4.034119218183015	Достать ножи
124	3307	Огни большого города	Comedy,Drama,Romance	1931.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4102	4.100682593856655	4.033259138646276	Огни большого города
125	68157	Бесславные ублюдки	Action,Drama,War	2009.0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	36054	4.040383868641483	4.032716952447972	Бесславные ублюдки
126	2731	Четыреста ударов	Crime,Drama	1959.0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4299	4.093626424749941	4.0295294688489625	Четыреста ударов
127	1258	Сияние	Horror	1980.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	40296	4.035710740520151	4.028876943764388	Сияние
128	1131	Jean de Florette	Drama,Mystery	1986.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3669	4.102207686017988	4.027272636118076	
129	951	His Girl Friday	Comedy,Romance	1940.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5042	4.080424434748116	4.025965894934611	
130	134130	Марсианин	Adventure,Drama,Sci-Fi	2015.0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	30090	4.034629444998338	4.025508307202103	Марсианин
131	306	Три цвета: Красный	Drama	1994.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8955	4.05605806811837	4.02541273640848	Три цвета: Красный
132	99114	Джанго освобожденный	Action,Drama,Western	2012.0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	33574	4.0331059748615	4.024935998214833	Джанго освобожденный
133	160718	Песочник	Animation	2016.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2006	4.160518444666002	4.023917828686905	Песочник
134	1256	Duck Soup	Comedy,Musical,War	1933.0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6741	4.063714582406171	4.0230979086936784	
135	969	African Queen, The	Adventure,Comedy,Romance,War	1951.0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	12494	4.044981591163759	4.023067966756282	
136	109374	Отель «Гранд Будапешт»	Comedy,Drama	2014.0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22141	4.034415789711395	4.022062493601207	Отель «Гранд Будапешт»
137	1232	Сталкер	Drama,Mystery,Sci-Fi	1979.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	4023	4.0882426050211285	4.0203698164752	Сталкер
